,game,model,experiment,episode,metric,value
173,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_1,Distance Score,0.0
174,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_1,Penalty Score,0.8181818181818181
175,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_1,Main Score,0.0
176,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_0,Request Count,29.0
177,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_0,Parsed Request Count,28.0
178,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_0,Violated Request Count,1.0
179,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_0,Request Success Ratio,0.9655172413793104
180,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_0,Aborted,1.0
181,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_0,Lose,1.0
182,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_0,Success,0.0
183,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_0,Penalties,11.0
184,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_0,Turn Count,10.0
185,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_0,Initial Distance,26.05272180389176
186,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_0,Total Distance,30.52481104991274
187,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_0,Expected Distance Score,0.0
188,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_0,Distance Reduction Score,0.0
189,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_0,Distance Score,0.0
190,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_0,Penalty Score,0.0
191,clean_up,mistral-small-2503-t0.0--mistral-small-2503-t0.0,4_gs11x11_obj5_en,episode_0,Main Score,
192,clean_up,deepseek-v3-0324-t0.0--deepseek-v3-0324-t0.0,2_gs9x9_obj4_en,episode_1,Request Count,24.0
193,clean_up,deepseek-v3-0324-t0.0--deepseek-v3-0324-t0.0,2_gs9x9_obj4_en,episode_1,Parsed Request Count,19.0
194,clean_up,deepseek-v3-0324-t0.0--deepseek-v3-0324-t0.0,2_gs9x9_obj4_en,episode_1,Violated Request Count,5.0
195,clean_up,deepseek-v3-0324-t0.0--deepseek-v3-0324-t0.0,2_gs9x9_obj4_en,episode_1,Request Success Ratio,0.7916666666666666
196,clean_up,deepseek-v3-0324-t0.0--deepseek-v3-0324-t0.0,2_gs9x9_obj4_en,episode_1,Aborted,0.0
197,clean_up,deepseek-v3-0324-t0.0--deepseek-v3-0324-t0.0,2_gs9x9_obj4_en,episode_1,Lose,0.0
198,clean_up,deepseek-v3-0324-t0.0--deepseek-v3-0324-t0.0,2_gs9x9_obj4_en,episode_1,Success,1.0
199,clean_up,deepseek-v3-0324-t0.0--deepseek-v3-0324-t0.0,2_gs9x9_obj4_en,episode_1,Penalties,6.0
200,clean_up,deepseek-v3-0324-t0.0--deepseek-v3-0324-t0.0,2_gs9x9_obj4_en,episode_1,Turn Count,9.0
201,clean_up,deepseek-v3-0324-t0.0--deepseek-v3-0324-t0.0,2_gs9x9_obj4_en,episode_1,Initial Distance,10.99070478491457
202,clean_up,deepseek-v3-0324-t0.0--deepseek-v3-0324-t0.0,2_gs9x9_obj4_en,episode_1,Total Distance,7.812559200041265
203,clean_up,deepseek-v3-0324-t0.0--deepseek-v3-0324-t0.0,2_gs9x9_obj4_en,episode_1,Expected Distance Score,0.5338860409474867
204,clean_up,deepseek-v3-0324-t0.0--deepseek-v3-0324-t0.0,2_gs9x9_obj4_en,episode_1,Distance Reduction Score,0.28916667739411117
205,clean_up,deepseek-v3-0324-t0.0--deepseek-v3-0324-t0.0,2_gs9x9_obj4_en,episode_1,Distance Score,0.41152635917079894
206,clean_up,deepseek-v3-0324-t0.0--deepseek-v3-0324-t0.0,2_gs9x9_obj4_en,episode_1,Penalty Score,0.33333333333333337
207,clean_up,deepseek-v3-0324-t0.0--deepseek-v3-0324-t0.0,2_gs9x9_obj4_en,episode_1,Main Score,0.137175453056933
208,clean_up,deepseek-v3-0324-t0.0--deepseek-v3-0324-t0.0,2_gs9x9_obj4_en,episode_0,Request Count,23.0
